Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch
Fcfs_with_a_score_x0_x30000_x45000,1139,3096856,797623.7726075505,908493477,3115222,804674.433713784,916524180.0,95808.0,3982816,150872988.0,8945.0,104753.0,71.82900475818802
Fcfs_with_a_score_x0_x30000_x60000,1139,3096880,797357.4705882353,908190159,3115246,804408.1316944688,916220862.0,95808.0,3982840,150872988.0,8945.0,104753.0,71.79066552389102
Fcfs_with_a_score_x0_x45000_x0,1139,101358,28267.359964881474,32196523,193825.0,35438.24670763828,40364163.0,215488.0,1051423.0,153106554.0,26202.0,241690.0,3.676598746418032
Fcfs_with_a_score_x0_x45000_x15000,1139,2058830,531533.9043020193,605417117,2077196,538585.1712028094,613448510.0,97152.0,2944790,150895160.0,8291.0,105443.0,49.60694186435006
Fcfs_with_a_score_x0_x45000_x30000,1139,3100736,796941.0930640913,907715905,3119102,803991.7541703249,915746608.0,95808.0,3986696,150872988.0,8945.0,104753.0,71.72403100404806
Fcfs_with_a_score_x0_x45000_x45000,1139,3096856,797623.7726075505,908493477,3115222,804674.433713784,916524180.0,95808.0,3982816,150872988.0,8945.0,104753.0,71.82900475818802
Fcfs_with_a_score_x0_x45000_x60000,1139,3096880,797357.4705882353,908190159,3115246,804408.1316944688,916220862.0,95808.0,3982840,150872988.0,8945.0,104753.0,71.79066552389102
Fcfs_with_a_score_x0_x60000_x0,1139,101241,28222.91132572432,32145896,193825.0,35393.79806848113,40313536.0,215488.0,1051423.0,153106554.0,26202.0,241690.0,3.643684948277867
Fcfs_with_a_score_x0_x60000_x15000,1139,2058830,531331.230904302,605186272,2077196,538382.1966637401,613217322.0,97088.0,2944790,150892347.0,8012.0,105100.0,48.798717349640256
Fcfs_with_a_score_x0_x60000_x30000,1139,3097544,797827.3160667252,908725313,3115910,804877.0570676031,916754968.0,95808.0,3983504,150869102.0,7897.0,103705.0,72.75439595243905
Fcfs_with_a_score_x0_x60000_x45000,1139,3096856,797623.7726075505,908493477,3115222,804674.433713784,916524180.0,95808.0,3982816,150872988.0,8945.0,104753.0,71.82900475818802
Fcfs_with_a_score_x0_x60000_x60000,1139,3096880,797357.4705882353,908190159,3115246,804408.1316944688,916220862.0,95808.0,3982840,150872988.0,8945.0,104753.0,71.79066552389102
