metric,avg_power_W,avg_power_W,avg_power_W,avg_power_W,duration_s,duration_s,duration_s,duration_s,nodes,nodes,nodes,nodes,total_energy,total_energy,total_energy,total_energy,cores,req_walltime,count
machine,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,Desktop,Faster,Midway,Theta,,,
func_name,,,,,,,,,,,,,,,,,,,
116,3.6391995276023814,2.5749409370993854,4.8637500000000005,0.8064654282829606,70.64871832572953,86.64908813028435,95.25,580.0087983770651,4.0,1.0,2.0,1.0,18294.39869603135,32042.505254804397,55557.42,93737.41863690404,64.0,300.0,4.0
117,3.9312318963712247,0.11990602515278821,5.093681592039801,0.8215183873726231,168.70897413791906,221.10522105456295,186.6318407960199,1481.5580046894165,4.0,1.0,2.0,1.0,43864.33327585895,47023.328600805,111605.02370139353,240867.51765576866,64.0,300.0,201.0
118,3.6268337475695875,2.57039501796937,5.085,0.8058280290873283,47.761323778762886,48.24083315008387,93.5,322.4675763913581,4.0,1.0,2.0,1.0,12329.937249401548,17825.242616033895,55860.64000000001,52102.05174084238,64.0,300.0,2.0
119,4.001388894370028,0.08626326593128875,4.865,0.8251346275111581,234.45283718892443,309.0607665732695,254.0,2071.311098284663,4.0,1.0,2.0,1.0,60957.73766912035,65063.734977653876,148173.44,337227.29355005483,64.0,360.0,1.0
12,4.095290098214261,0.3842296898309253,1.3891666666666664,0.8299748395554432,1087.312919409017,1665.8914462860114,526.5,11169.282347880748,1.0,1.0,1.0,1.0,70675.3397615861,351749.10574780783,83306.34,1376944.6314609905,16.0,1380.0,6.0
120,4.0674511086609915,0.27836708225820167,4.966666666666668,0.8285398115181243,281.1575906672325,337.6415174982983,396.3333333333333,2262.9094880153593,4.0,1.0,2.0,1.0,73100.97357348046,75231.76126796605,233783.82222222225,368914.32212539006,64.0,480.0,3.0
121,5.918707716592762,3.152879510141204,3.6616666666666666,0.767151847113195,7.765785109958151,10.085878658716727,9.733333333333333,66.65150400022756,4.0,1.0,2.0,1.0,2019.1041285891192,4102.7769755865875,4928.440888888888,10604.102202050444,64.0,60.0,15.0
122,2.5632489780208774,2.1793989989944573,4.5409999999999995,0.7510050998471204,37.12407447022849,48.22065002847289,43.0,322.3486652690365,4.0,1.0,2.0,1.0,7056.838639734934,16611.123585623558,24192.832000000002,50951.82463853537,64.0,60.0,5.0
123,1.1654724248482593,1.6655471244490772,0.89,0.6789561318822405,43.90611871134446,64.0942965482991,31.0,428.79133647813086,4.0,1.0,2.0,1.0,4418.2830522153245,19971.463356216096,10197.76,65799.3994733821,64.0,60.0,4.0
124,0.4508402103092941,1.1879831996810055,2.8674999999999997,0.4443906045586438,7.118648837020943,9.78359307540213,7.5,64.62529185978238,4.0,1.0,2.0,1.0,390.7694965992595,2749.4922096473983,3416.3999999999996,8946.789945814302,64.0,60.0,2.0
