Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time
1, 40, 1, 2, 0.996811, 992.812799, 175.954871
2, 40, 2, 3, 1.498213, 990.516948, 108.639785
3, 40, 3, 3, 1.498213, 989.712025, 124.901436
4, 41, 0, 1, 0.002486, 994.336356, 139.563921
5, 41, 1, 2, 0.002546, 992.810254, 175.998522
6, 41, 2, 0, 0.003434, 990.513514, 1.683807
7, 41, 3, 3, 0.006404, 989.705621, 124.975467
8, 42, 0, 2, 0.015681, 994.320675, 176.258053
9, 42, 1, 2, 0.015681, 992.794573, 176.517584
10, 42, 2, 3, 0.045591, 990.467923, 125.494858
11, 42, 3, 2, 0.015681, 989.689940, 176.777115
12, 43, 0, 2, 0.001493, 994.319182, 176.803170
13, 43, 1, 2, 0.001493, 992.793080, 176.829226
14, 43, 2, 3, 0.011672, 990.456251, 125.628578
15, 43, 3, 1, 0.002085, 989.687855, 139.609007
16, 44, 0, 3, 0.011908, 994.307274, 125.766271
17, 44, 1, 2, 0.188647, 992.604432, 180.123493
18, 44, 2, 3, 0.011908, 990.444343, 125.903964
19, 44, 3, 1, 1.162331, 988.525524, 165.125420
20, 45, 0, 2, 0.002156, 994.305118, 180.161106
21, 45, 1, 2, 0.002156, 992.602277, 180.198719
22, 45, 2, 3, 0.009122, 990.435221, 126.009137
23, 45, 3, 3, 0.009122, 988.516402, 126.114310
24, 46, 0, 2, 0.030417, 994.274701, 180.731514
25, 46, 1, 2, 0.030417, 992.571859, 181.264309
26, 46, 2, 3, 0.067142, 990.368079, 126.877282
27, 46, 3, 2, 0.030417, 988.485985, 181.797104
28, 47, 0, 1, 0.000294, 994.274407, 165.129473
29, 47, 1, 2, 0.000327, 992.571532, 181.802780
30, 47, 2, 3, 0.002250, 990.365829, 126.903064
31, 47, 3, 3, 0.002250, 988.483734, 126.928847
0, 48, 0, 2, 0.889830, 993.384577, 193.018137
1, 48, 1, 2, 0.996811, 991.574721, 204.233494
2, 48, 2, 3, 1.498213, 988.867616, 143.190497
3, 48, 3, 3, 1.498213, 986.985522, 159.452147
4, 49, 0, 1, 0.002486, 993.382091, 165.183430
5, 49, 1, 2, 0.002546, 991.572176, 204.277145
6, 49, 2, 0, 0.003434, 988.864182, 2.020568
7, 49, 3, 1, 0.002508, 986.983014, 165.237387
8, 50, 0, 2, 0.015681, 993.366410, 204.536676
9, 50, 1, 2, 0.015681, 991.556495, 204.796207
10, 50, 2, 3, 0.045591, 988.818591, 159.971538
11, 50, 3, 2, 0.015681, 986.967333, 205.055737
12, 51, 0, 2, 0.001493, 993.364916, 205.081793
13, 51, 1, 2, 0.001493, 991.555002, 205.107848
14, 51, 2, 3, 0.011672, 988.806919, 160.105258
15, 51, 3, 3, 0.011672, 986.955661, 160.238978
16, 52, 0, 3, 0.011908, 993.353008, 160.376671
17, 52, 1, 2, 0.188647, 991.366354, 208.402115
18, 52, 2, 3, 0.011908, 988.795011, 160.514364
19, 52, 3, 2, 0.188647, 986.767014, 211.696382
20, 53, 0, 2, 0.002156, 993.350853, 211.733996
21, 53, 1, 2, 0.002156, 991.364199, 211.771609
22, 53, 2, 3, 0.009122, 988.785889, 160.619537
23, 53, 3, 2, 0.002156, 986.764858, 211.809222
24, 54, 0, 2, 0.030417, 993.320436, 212.342017
25, 54, 1, 2, 0.030417, 991.333782, 212.874812
26, 54, 2, 3, 0.067142, 988.718747, 161.382509
27, 54, 3, 3, 0.067142, 986.697716, 162.145481
28, 55, 0, 1, 0.000294, 993.320142, 165.241440
29, 55, 1, 2, 0.000327, 991.333454, 212.880488
30, 55, 2, 3, 0.002250, 988.716497, 162.171263
31, 55, 3, 3, 0.002250, 986.695466, 162.197046
0, 56, 0, 2, 0.889830, 992.430311, 224.095845
1, 56, 1, 2, 0.996811, 990.336643, 235.311202
2, 56, 2, 3, 1.498213, 987.218284, 178.458696
3, 56, 3, 2, 0.996811, 985.698655, 246.526558
4, 57, 0, 1, 0.002486, 992.427825, 165.295397
5, 57, 1, 2, 0.002546, 990.334098, 246.570209
6, 57, 2, 0, 0.003434, 987.214850, 2.357330
7, 57, 3, 1, 0.002508, 985.696147, 165.349355
8, 58, 0, 2, 0.015681, 992.412144, 246.829740
9, 58, 1, 2, 0.015681, 990.318417, 247.089271
10, 58, 2, 1, 0.379905, 986.834946, 173.666972
11, 58, 3, 1, 0.379905, 985.316243, 181.984589
12, 59, 0, 2, 0.001493, 992.410651, 247.115327
13, 59, 1, 2, 0.001493, 990.316924, 247.141382
14, 59, 2, 3, 0.011672, 986.823274, 178.592416
15, 59, 3, 2, 0.001493, 985.314750, 247.167437
16, 60, 0, 3, 0.011908, 992.398743, 178.730109
17, 60, 1, 2, 0.188647, 990.128276, 250.461704
18, 60, 2, 3, 0.011908, 986.811366, 178.867802
19, 60, 3, 3, 0.011908, 985.302842, 179.005496
20, 61, 0, 2, 0.002156, 992.396587, 250.499318
21, 61, 1, 2, 0.002156, 990.126121, 250.536931
22, 61, 2, 3, 0.009122, 986.802244, 179.110668
23, 61, 3, 3, 0.009122, 985.293719, 179.215841
24, 62, 0, 2, 0.030417, 992.366170, 251.069726
25, 62, 1, 2, 0.030417, 990.095704, 251.602520
26, 62, 2, 3, 0.067142, 986.735102, 179.978813
27, 62, 3, 3, 0.067142, 985.226577, 180.741784
28, 63, 0, 1, 0.000294, 992.365876, 181.988642
29, 63, 1, 2, 0.000327, 990.095376, 251.608197
30, 63, 2, 3, 0.002250, 986.732851, 180.767567
31, 63, 3, 1, 0.000294, 985.226283, 181.992694
0, 64, 0, 2, 0.889830, 991.476046, 262.823554
1, 64, 1, 2, 0.996811, 989.098565, 274.038910
2, 64, 2, 3, 1.498213, 985.234639, 197.029217
3, 64, 3, 1, 0.953236, 984.273047, 198.879248
4, 65, 0, 1, 0.002486, 991.473560, 198.933205
5, 65, 1, 2, 0.002546, 989.096020, 274.082562
6, 65, 2, 0, 0.003434, 985.231205, 2.694091
7, 65, 3, 3, 0.006404, 984.266643, 197.103249
8, 66, 0, 2, 0.015681, 991.457879, 274.342092
9, 66, 1, 2, 0.015681, 989.080339, 274.601623
10, 66, 2, 3, 0.045591, 985.185614, 197.622640
11, 66, 3, 1, 0.379905, 983.886738, 207.250823
12, 67, 0, 2, 0.001493, 991.456386, 274.627679
13, 67, 1, 2, 0.001493, 989.078846, 274.653734
14, 67, 2, 3, 0.011672, 985.173942, 197.756360
15, 67, 3, 1, 0.002085, 983.884653, 207.295908
16, 68, 0, 3, 0.011908, 991.444478, 197.894053
17, 68, 1, 2, 0.188647, 988.890198, 277.948001
18, 68, 2, 3, 0.011908, 985.162034, 198.031746
19, 68, 3, 1, 1.162331, 982.722323, 232.812322
20, 69, 0, 2, 0.002156, 991.442322, 277.985614
21, 69, 1, 2, 0.002156, 988.888043, 278.023228
22, 69, 2, 3, 0.009122, 985.152912, 198.136919
23, 69, 3, 3, 0.009122, 982.713200, 198.242092
24, 70, 0, 2, 0.030417, 991.411905, 278.556022
25, 70, 1, 2, 0.030417, 988.857626, 279.088817
26, 70, 2, 3, 0.067142, 985.085770, 199.005063
27, 70, 3, 3, 0.067142, 982.646059, 199.768035
28, 71, 0, 1, 0.000294, 991.411611, 232.816375
29, 71, 1, 2, 0.000327, 988.857298, 279.094494
30, 71, 2, 3, 0.002250, 985.083520, 199.793818
31, 71, 3, 1, 0.000294, 982.645765, 232.820427
0, 72, 0, 2, 0.889830, 990.521780, 290.309850
1, 72, 1, 2, 0.996811, 987.860487, 301.525207
2, 72, 2, 3, 1.498213, 983.585307, 216.055468
3, 72, 3, 1, 0.953236, 981.692529, 249.706981
4, 73, 0, 1, 0.002486, 990.519294, 249.760939
5, 73, 1, 2, 0.002546, 987.857942, 301.568858
6, 73, 2, 0, 0.003434, 983.581873, 3.030852
7, 73, 3, 2, 0.002546, 981.689983, 301.612510
8, 74, 0, 2, 0.015681, 990.503613, 301.872041
9, 74, 1, 2, 0.015681, 987.842261, 302.131571
10, 74, 2, 3, 0.045591, 983.536282, 216.574859
11, 74, 3, 1, 0.379905, 981.310078, 258.078556
12, 75, 0, 2, 0.001493, 990.502120, 302.157627
13, 75, 1, 2, 0.001493, 987.840768, 302.183682
14, 75, 2, 3, 0.011672, 983.524610, 216.708579
