Job_unique_id, Job_shared_id, User_id, Selected_endpoint, Credit_lost, New_credit, Job_end_time, Energy_used_watt_hours, Number_of_cores_hours_used, Queue_time, Mean_duration_on_machines, Number_of_cores_used
2777, 9, 2, 0, 2348037.411362, 97855220.895419, 9197.054363, 106094.944469, 22.712160, 5108.865560, 1359.170158, 20
2777, 9, 3, 2, 6427178.678849, 96638538.411765, 83270.943646, 17079.392265, 2.353572, 82847.300719, 1359.170158, 20
2777, 9, 4, 3, 17299115.856042, 67541230.192584, 201016.376133, 24812.284432, 3.388049, 200406.527231, 1359.170158, 20
2777, 9, 5, 0, 2348037.411362, 112873518.809167, 1347823.012397, 106094.944469, 22.712160, 1343734.823593, 1359.170158, 20
2777, 9, 6, 1, 3287791.881214, 109546127.841008, 165181.514115, 33181.187183, 1.750000, 164866.514115, 1359.170158, 20
2777, 9, 7, 2, 6427178.678849, 100352888.560797, 152610.294627, 17079.392265, 2.353572, 152186.651700, 1359.170158, 20
2777, 9, 8, 3, 17299115.856042, 67541230.192584, 201016.376133, 24812.284432, 3.388049, 200406.527231, 1359.170158, 20
440, 9, 0, 1, 110626.689597, 112767099.275676, 14461.500000, 1012.002444, 0.333333, 14431.500000, 118.856638, 40
440, 10, 1, 1, 110626.689597, 100242261.871200, 30.000000, 1012.002444, 0.333333, 0.000000, 118.856638, 40
440, 11, 2, 0, 234714.200915, 97620506.694504, 9552.130104, 10604.049029, 3.945286, 9197.054363, 118.856638, 40
440, 12, 3, 1, 110626.689597, 96527911.722168, 20278.333333, 1012.002444, 0.333333, 20248.333333, 118.856638, 40
440, 13, 4, 3, 1724168.986630, 65817061.205955, 201069.476875, 2460.088663, 0.590008, 201016.376133, 118.856638, 40
440, 14, 5, 0, 234714.200915, 112638804.608251, 1348178.088138, 10604.049029, 3.945286, 1347823.012397, 118.856638, 40
440, 15, 6, 1, 110626.689597, 109435501.151411, 165211.514115, 1012.002444, 0.333333, 165181.514115, 118.856638, 40
440, 16, 7, 2, 542068.307506, 99810820.253291, 152647.544698, 1440.476097, 0.413890, 152610.294627, 118.856638, 40
440, 17, 8, 3, 1724168.986630, 65817061.205955, 201069.476875, 2460.088663, 0.590008, 201016.376133, 118.856638, 40
2322, 18, 0, 0, 31135.497075, 112735963.778601, 1269168.640939, 1360.188168, 473.636978, 1266504.432936, 925.311121, 640
2322, 18, 1, 2, 64581.381486, 100177680.489714, 152913.845237, 171.616630, 53.964553, 152610.294627, 925.311121, 640
2322, 18, 2, 0, 31135.497075, 97589371.197429, 12216.338107, 1360.188168, 473.636978, 9552.130104, 925.311121, 640
2322, 18, 3, 0, 31135.497075, 96496776.225093, 18234.909349, 1360.188168, 473.636978, 15570.701346, 925.311121, 640
2322, 18, 4, 3, 231469.623262, 65585591.582692, 201466.962746, 323.842350, 70.664155, 201069.476875, 925.311121, 640
2322, 18, 5, 0, 31135.497075, 112607669.111177, 1350842.296140, 1360.188168, 473.636978, 1348178.088138, 925.311121, 640
2322, 18, 6, 1, 33523.773411, 109401977.378000, 165547.514115, 386.554667, 59.733333, 165211.514115, 925.311121, 640
2322, 18, 7, 2, 64581.381486, 99746238.871806, 152951.095307, 171.616630, 53.964553, 152647.544698, 925.311121, 640
2322, 18, 8, 3, 231469.623262, 65585591.582692, 201466.962746, 323.842350, 70.664155, 201069.476875, 925.311121, 640
2763, 18, 0, 0, 12667468.261185, 100068495.517417, 1273073.397752, 597408.458348, 21.693093, 1269168.640939, 1335.373353, 20
2763, 18, 1, 2, 41140609.966542, 59037070.523172, 153344.333618, 109325.825647, 2.391602, 152913.845237, 1335.373353, 20
2763, 18, 2, 3, 91732885.101870, 5856486.095559, 14251.673763, 134752.340294, 3.236101, 13669.175545, 1335.373353, 20
2763, 18, 3, 0, 12667468.261185, 83829307.963909, 22139.666163, 597408.458348, 21.693093, 18234.909349, 1335.373353, 20
2763, 18, 4, 3, 91732885.101870, -26147293.519178, 202049.460964, 134752.340294, 3.236101, 201466.962746, 1335.373353, 20
2763, 18, 5, 0, 12667468.261185, 99940200.849992, 1354747.052954, 597408.458348, 21.693093, 1350842.296140, 1335.373353, 20
2763, 18, 6, 1, 21474785.538507, 87927191.839493, 165971.264115, 265051.931250, 2.354167, 165547.514115, 1335.373353, 20
2763, 18, 7, 2, 41140609.966542, 58605628.905263, 153381.583689, 109325.825647, 2.391602, 152951.095307, 1335.373353, 20
2763, 18, 8, 3, 91732885.101870, -26147293.519178, 202049.460964, 134752.340294, 3.236101, 201466.962746, 1335.373353, 20
341, 18, 0, 1, 30767.884286, 100037727.633131, 15051.500000, 304.631256, 81.944444, 14461.500000, 1604.517005, 500
341, 19, 1, 2, 116599.035845, 58920471.487327, 153871.701796, 302.677576, 73.245580, 153344.333618, 1604.517005, 500
341, 20, 2, 3, 389171.768048, 5467314.327512, 14939.747476, 546.568334, 95.565793, 14251.673763, 1604.517005, 500
341, 21, 3, 1, 30767.884286, 83798540.079622, 20868.333333, 304.631256, 81.944444, 20278.333333, 1604.517005, 500
341, 22, 4, 3, 389171.768048, -26536465.287225, 202737.534676, 546.568334, 95.565793, 202049.460964, 1604.517005, 500
341, 23, 5, 0, 52242.438303, 99887958.411689, 1359359.679084, 2282.486976, 640.642518, 1354747.052954, 1604.517005, 500
341, 24, 6, 1, 30767.884286, 87896423.955207, 166561.264115, 304.631256, 81.944444, 165971.264115, 1604.517005, 500
341, 25, 7, 2, 116599.035845, 58489029.869419, 153908.951867, 302.677576, 73.245580, 153381.583689, 1604.517005, 500
341, 26, 8, 3, 389171.768048, -26536465.287225, 202737.534676, 546.568334, 95.565793, 202049.460964, 1604.517005, 500
1088, 27, 0, 0, 1000728.639165, 99036998.993965, 1936147.318683, 46642.623726, 14734.976021, 1273073.397752, 223755.992563, 80
1088, 28, 1, 2, 3249474.769773, 55670996.717554, 224902.960130, 8635.057001, 1578.472407, 153871.701796, 223755.992563, 80
1088, 29, 2, 3, 7281801.565173, -1814487.237661, 113829.812656, 10624.666152, 2197.557004, 14939.747476, 223755.992563, 80
1088, 30, 3, 2, 3249474.769773, 80549065.309849, 154302.201981, 8635.057001, 1578.472407, 83270.943646, 223755.992563, 80
1088, 31, 4, 3, 7281801.565173, -33818266.852398, 301627.599857, 10624.666152, 2197.557004, 202737.534676, 223755.992563, 80
1088, 32, 5, 0, 1000728.639165, 98887229.772523, 2022433.600014, 46642.623726, 14734.976021, 1359359.679084, 223755.992563, 80
1088, 33, 6, 1, 1701336.055290, 86195087.899917, 228589.989922, 19407.283710, 1378.416129, 166561.264115, 223755.992563, 80
1088, 34, 7, 2, 3249474.769773, 55239555.099645, 224940.210201, 8635.057001, 1578.472407, 153908.951867, 223755.992563, 80
1088, 35, 8, 3, 7281801.565173, -33818266.852398, 301627.599857, 10624.666152, 2197.557004, 202737.534676, 223755.992563, 80
204, 36, 0, 1, 1595121.709498, 97441877.284467, 15059.500000, 19687.744444, 0.666667, 15051.500000, 24.470347, 300
204, 36, 1, 2, 3327655.229896, 52343341.487658, 224910.767261, 8842.811416, 0.650594, 224902.960130, 24.470347, 300
204, 36, 2, 0, 1662821.920957, -3477309.158618, 12287.633941, 72655.361268, 5.941320, 12216.338107, 24.470347, 300
204, 36, 3, 0, 1662821.920957, 78886243.388892, 22210.961997, 72655.361268, 5.941320, 22139.666163, 24.470347, 300
204, 36, 4, 3, 12408533.193021, -46226800.045419, 301638.378279, 17483.094302, 0.898202, 301627.599857, 24.470347, 300
204, 36, 5, 0, 1662821.920957, 97224407.851566, 2022504.895849, 72655.361268, 5.941320, 2022433.600014, 24.470347, 300
204, 36, 6, 1, 1595121.709498, 84599966.190419, 228597.989922, 19687.744444, 0.666667, 228589.989922, 24.470347, 300
204, 36, 7, 2, 3327655.229896, 51911899.869749, 224948.017332, 8842.811416, 0.650594, 224940.210201, 24.470347, 300
204, 36, 8, 3, 12408533.193021, -46226800.045419, 301638.378279, 17483.094302, 0.898202, 301627.599857, 24.470347, 300
2103, 36, 0, 1, 36990.508913, 97404886.775554, 91859.500000, 273.910574, 6826.666667, 15059.500000, 160331.752806, 320
2103, 36, 1, 1, 36990.508913, 52306350.978745, 76830.000000, 273.910574, 6826.666667, 30.000000, 160331.752806, 320
2103, 36, 2, 2, 107938.221228, -3585247.379847, 107998.471011, 286.831799, 4883.217066, 53062.279017, 160331.752806, 320
2103, 36, 3, 1, 36990.508913, 78849252.879979, 97668.333333, 273.910574, 6826.666667, 20868.333333, 160331.752806, 320
